slug,name,image,description,play_url,link
1v1-lol,1V1 LOL,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/1v1-lol.jpg,"Game Controls (aka) How To play:  WASD for moving. MOUSE: aim and shoot, BUILD CONTROLS shown in game main screen.
Quick Summary of the Game: Play one of best multiplayers games online with friends in school 1V1.lol where players compete against each other in a 1v1 match. The game is set in a virtual arena where players control a character and use various weapons to defeat their opponent. The objective of the game is to be the last person standing by eliminating all other players.",https://unblocked-games-g-plus.poki2.online/play/1v1-lol.html,https://sites.google.com/view/unblocked-games-g-site/1v1-lol
apple-shooter,APPLE SHOOTER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/apple-shooter.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Step into the shoes of a skilled archer in Apple Shooter, where precision is your greatest ally. Test your marksmanship as you aim to dislodge an apple perched atop your friend’s head with each arrow. As you triumph in this daring feat, the challenge escalates with an ever-expanding shooting range. Navigate the increasing distance and sharpen your focus, but tread carefully – one misguided shot ends the game abruptly. Immerse yourself in the tension of each round, where skill and nerve are your guiding stars. Can you master the bow and arrow, or will your aim falter, bringing an unexpected end to the challenge?",https://unblocked-games-g-plus.poki2.online/play/apple-shooter.html,https://sites.google.com/view/unblocked-games-g-site/apple-shooter
blockpost,BLOCKPOST,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/blockpost.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. MOUSE aim and shoot
Quick Summary of the Game: Immerse yourself in a gripping virtual battleground with Blockpost, the revolutionary online browser FPS game. Unleash your strategic prowess and sharpshooting skills in this action-packed gaming extravaganza. With stunning graphics and smooth gameplay, Blockpost transports you into a captivating world of intense firefights and dynamic team-based challenges. Uncover an array of customizable weapons, character classes, and maps, providing endless opportunities for tactical diversity. Prepare for heart-pounding adrenaline rushes and exhilarating showdowns as you engage with players from around the globe. Brace yourself for an extraordinary gaming experience that promises to redefine your FPS adventure. Get ready to dominate the Blockpost battlefield in this fun shooter multiplayer game.",https://unblocked-games-g-plus.poki2.online/play/blockpost.html,https://sites.google.com/view/unblocked-games-g-site/blockpost
browserfps-com,BROWSERFPS COM,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/browserfps-com.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys. MOUSE: aim and shoot
Quick Summary of the Game: Browser FPS (.com) is widely popular 3d battle royale game originally called Krunker but on proxy domain so you can play it in school with your friends. Like Krunker game all controls and game mods are the same. Choose your weapon loadout and try to reach the top of leaderboard.",https://unblocked-games-g-plus.poki2.online/play/browserfps-com.html,https://sites.google.com/view/unblocked-games-g-site/browserfps-com
cubeshot-io,CUBESHOT IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/cubeshot-io.jpg,"Game Controls (aka) How To play:  Controls are same like in Krunker.io, WASD and MOUSE.
Quick Summary of the Game: CubeShot immerses players in an exhilarating 3D first-person shooter, driven by dynamic objectives. This game promises a riveting and distinctive encounter with each match, ensuring an adrenaline-fueled experience. Engage in thrilling battles within a cubic landscape, where strategy and precision are paramount. With its innovative design, CubeShot delivers an unparalleled gaming adventure, elevating the traditional shooter genre. Immerse yourself in the intensity of every match, where objectives add depth to the gameplay. Prepare for a unique blend of strategy and action, making CubeShot a must-play for enthusiasts seeking an unforgettable first-person shooter challenge.",https://unblocked-games-g-plus.poki2.online/play/cubeshot-io.html,https://sites.google.com/view/unblocked-games-g-site/cubeshot-io
dead-again,DEAD AGAIN,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/dead-again.jpg,"Game Controls (aka) How To play:  Move: WASD or arrow keys
Shoot: Left mouse button
Aim: Mouse
Quick Summary of the Game: In Dead Again, the afterlife is anything but tranquil. Face a relentless horde of undead adversaries, from zombies and vampires to menacing ghosts. As you navigate through the eerie realms, be wary—the longer you endure, the more formidable your supernatural foes become. It’s a battle against time and the supernatural, challenging your survival instincts. Brace yourself for a pulse-pounding experience where death is just a temporary setback. How long can you outsmart the relentless forces of the afterlife before succumbing to the inevitable fate of being Dead Again?",https://unblocked-games-g-plus.poki2.online/play/dead-again.html,https://sites.google.com/view/unblocked-games-g-site/dead-again
deadshot-io,DEADSHOT IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/deadshot-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. MOUSE: aim and shoot
Quick Summary of the Game: Dead Shot io is a multiplayer shooting game where players control a character armed with a variety of weapons and try to eliminate other players while avoiding getting killed themselves. The game takes place in a simple 3D environment, and players can collect power-ups to increase their chances of survival. The last player or team standing wins the game.",https://unblocked-games-g-plus.poki2.online/play/deadshot-io.html,https://sites.google.com/view/unblocked-games-g-site/deadshot-io
ev-io,EV IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/ev-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. Other controls shown in-game.
Quick Summary of the Game: Ev.io is a multiplayer first-person shooter game that is played in a browser. The game features several maps, weapons, and game modes, including free-for-all and team-based matches. Players can customize their weapons and characters as they progress through the game. The objective is to eliminate as many opponents as possible and score points for your team. The game is fast-paced and requires quick reflexes and strategic thinking to outsmart your opponents. Play the game with your friends or players around the world.",https://unblocked-games-g-plus.poki2.online/play/ev-io.html,https://sites.google.com/view/unblocked-games-g-site/ev-io
ferge-io,FERGE IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/ferge-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW to move. MOUSE aim and shoot
Quick Summary of the Game: Ferge.io immerses you in an exhilarating online first-person shooter experience within the dynamic .io gaming realm. Engage in intense battles, outsmart rivals, and amass coins to customize your arsenal with sleek gun skins and captivating cosmetics. With its fast-paced gameplay, Ferge.io challenges your skills and strategic prowess as you strive to dominate the virtual battlefield. Embrace the adrenaline rush, conquer foes, and enhance your style in this thrilling .io adventure where every victory counts.",https://unblocked-games-g-plus.poki2.online/play/ferge-io.html,https://sites.google.com/view/unblocked-games-g-site/ferge-io
fnaf-shooter,FNAF SHOOTER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/fnaf-shooter.jpg,"Game Controls (aka) How To play:  Mouse = look around
WASD = movement
W + Shift = run
Space = jump
Left mouse button = shoot
Right mouse button (hold) = aim
Mouse wheel = next / previous weapon
1-7 = weapon hotkeys
R = reload
G = throw a grenade
Quick Summary of the Game: Step into the adrenaline-charged world of FNaF Shooter, a gripping first-person shooter experience that throws you into a relentless battle against animatronic invaders. Crafted by the skilled hands of GoGoMan, this game unleashes its mayhem on web browsers, challenging players to skillfully navigate through a world teeming with animatronic threats. Set to release in February 2022, brace yourself for an intense showdown as you strive to save the world from the looming animatronic apocalypse in this heart-pounding, action-packed gaming adventure.",https://unblocked-games-g-plus.poki2.online/play/fnaf-shooter.html,https://sites.google.com/view/unblocked-games-g-site/fnaf-shooter
fortnite-made-in-china,FORTNITE MADE IN CHINA,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/fortnite-made-in-china.jpg,"Game Controls (aka) How To play:  WASD: move  MOUSE: aim and shoot
Quick Summary of the Game: Experience the thrill of a gaming sensation with Fortnite Made in China! Engage in epic battles on a mysterious island, where the stakes are high and danger lurks in every corner. Navigate the aftermath of a perilous storm, strategize with your team, and confront hordes of menacing zombies. Arm yourself with an arsenal of diverse weapons and outlast your opponents to secure victory. Immerse yourself in this adrenaline-pumping adventure, showcasing the gaming prowess that China has to offer. Get ready for a gaming experience like no other!",https://unblocked-games-g-plus.poki2.online/play/fortnite-made-in-china.html,https://sites.google.com/view/unblocked-games-g-site/fortnite-made-in-china
funny-shooter-3d,FUNNY SHOOTER 3D,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/funny-shooter-3d.jpg,"Game Controls (aka) How To play:  WASD and MOUSE for playing.
Quick Summary of the Game: Welcome to the hilarious realm of Funny Shooter 2 Unblocked! Immerse yourself in this uproarious FPS adventure, battling waves of outrageous foes in a 3D gaming extravaganza. Unleash your wit and firepower as you navigate through absurd landscapes, tackling comical challenges with each level. Prepare for a side-splitting experience as you engage in uproarious combat, armed with an arsenal of quirky weapons. With its unblocked access, dive into the laughter-packed chaos and enjoy the whimsical chaos of this comically captivating shooter. Funny Shooter 2 guarantees non-stop fun as you take on bizarre enemies in this riotous and entertaining 3D game!",https://unblocked-games-g-plus.poki2.online/play/funny-shooter-3d.html,https://sites.google.com/view/unblocked-games-g-site/funny-shooter-3d
getaway-shootout,GETAWAY SHOOTOUT,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/getaway-shootout.jpg,"Game Controls (aka) How To play:  Game controls are shown in-game.
Quick Summary of the Game: Getaway Shootout is a fast-paced multiplayer online game where you race against other players to escape a variety of challenging levels. Using various weapons and power-ups, you must overcome obstacles and outsmart your opponents to be the first one to reach the getaway vehicle and make your escape. It’s a fun and addictive game which you can play with friends in school unblocked.",https://unblocked-games-g-plus.poki2.online/play/getaway-shootout.html,https://sites.google.com/view/unblocked-games-g-site/getaway-shootout
gun-mayhem-2,GUN MAYHEM 2,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/gun-mayhem-2.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. MOUSE: aim and shoot
Quick Summary of the Game: Gun Mayhem 2 is a wild and intense online shooter game that will keep you hooked for hours. With tons of weapons to choose from and multiple levels to explore, the gameplay is fast-paced and exhilarating. Choose your favorite game mod and have fun playing.",https://unblocked-games-g-plus.poki2.online/play/gun-mayhem-2.html,https://sites.google.com/view/unblocked-games-g-site/gun-mayhem-2
gun-mayhem-redux,GUN MAYHEM REDUX,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/gun-mayhem-redux.jpg,"Game Controls (aka) How To play:  Controls are shown in-game.
Quick Summary of the Game: Step into the intense battleground of Gun Mayhem 3, where artificial foes await your challenge in an arena of supremacy. Your mission: strategically utilize an arsenal of weapons to forcefully eject adversaries off the stage. Despite its apparent simplicity, the game demands precision and skill to avoid being countered. Customize your character’s appearance with choices like headgear, attire, pistols, and perks, offering advantages such as enhanced speed, reduced recoil, and increased ammunition. Navigate diverse stages, confronting a multitude of foes in a thrilling and demanding gameplay experience. Only by mastering your weapons can you triumph and truly unleash the mayhem in Gun Mayhem 3!",https://unblocked-games-g-plus.poki2.online/play/gun-mayhem-redux.html,https://sites.google.com/view/unblocked-games-g-site/gun-mayhem-redux
gun-spin,GUN SPIN,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/gun-spin.jpg,"Game Controls (aka) How To play:  Game is played only with mouse.
Quick Summary of the Game: Gun Spin is an exhilarating physics-based online 66 browser game that combines marksmanship with aerodynamics. The objective is simple: shoot your firearm and keep it airborne for as long as possible. As your weapon spirals through the air, you’ll face an array of obstacles and challenges. Your skillful marksmanship, precise timing, and strategic upgrades are the keys to success. Enhance your firearm by adding more bullets and increasing its power to extend its travel distance. The game offers a unique blend of addictive gameplay, physics realism, and strategic decision-making.
 Test your reflexes, refine your shooting skills, and strive for the highest score in the thrilling world of Gun Spin.",https://unblocked-games-g-plus.poki2.online/play/gun-spin.html,https://sites.google.com/view/unblocked-games-g-site/gun-spin
johnny-trigger,JOHNNY TRIGGER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/johnny-trigger.jpg,"Game Controls (aka) How To play:  Game is played with ARROW keys and mouse.
Quick Summary of the Game: Johnny Trigger is an online browser game where you play as a stylish hitman taking on dangerous missions. The graphics are sick, the gameplay is lit and the action is non-stop. Whether you’re sniping from afar or going in guns blazing, you’ll feel like a total boss while you take down your targets. The controls are smooth and responsive, making it easy to pull off sick stunts and combos.  Game features numerous levels try to pass them all.",https://unblocked-games-g-plus.poki2.online/play/johnny-trigger.html,https://sites.google.com/view/unblocked-games-g-site/johnny-trigger
johny-revenge,JOHNY REVENGE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/johny-revenge.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Step into the gritty realm of Johnny Revenge, where you’ll navigate the treacherous corridors of organized crime. This adrenaline-charged game thrusts you into a narrative bursting with action, requiring you to systematically dismantle the mafia empire. With jaw-dropping visuals and gameplay that keeps you on the edge, Johnny Revenge challenges your tactical prowess and marksmanship. Engage in a riveting storyline and face daunting missions where every shot matters, adding intensity to your pursuit of justice in this underworld showdown.",https://unblocked-games-g-plus.poki2.online/play/johny-revenge.html,https://sites.google.com/view/unblocked-games-g-site/johny-revenge
krunker-io,KRUNKER IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/krunker-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW controls moving. MOUSE: aim and shoot
Quick Summary of the Game: Krunker.io is a fast-paced, multiplayer first-person shooter game set in a block-style world. Players can choose from a variety of classes and weapons, and battle it out in various game modes such as Free For All, Team Deathmatch, and Capture The Flag. The game has a retro feel and features smooth graphics and intuitive controls. Play the game in private mode with your friends in school or against players around the world. Choose from various maps and mods and try to reach the top of leaderboard. 
P.S Don’t forget to try out community created games like Zombie Bulwark, Zombie Alert, Escape Earth, CS 1.6 (Counter Strike)",https://unblocked-games-g-plus.poki2.online/play/krunker-io.html,https://sites.google.com/view/unblocked-games-g-site/krunker-io
