slug,name,image,description,play_url,link
achievement-unlocked,ACHIEVEMENT UNLOCKED,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/achievement-unlocked.jpg,"Game Controls (aka) How To play:  ARROW keys or WASD
Quick Summary of the Game: Achievement Unlocked is a dope online game that I’ve been hooked on for weeks. It’s a simple platformer where you control a little blue elephant and jump around to collect coins and reach the end of the level. But the cool thing is that there are over 100 achievements to unlock, like bouncing on a trampoline or finding a hidden room. It’s addictive because you’re always trying to beat your high score or unlock the next achievement.",https://unblocked-games-g-plus.poki2.online/play/achievement-unlocked.html,https://sites.google.com/view/unblocked-games-g-site/achievement-unlocked
burger-clicker,BURGER CLICKER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/burger-clicker.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Step into the sizzling world of Burger Clicker, where your culinary journey begins with a humble bun and evolves into a masterpiece of taste and creativity. Dive into the addictive thrill of clicking your way to burger brilliance. Earn burger coins by tapping your savory creation and unlock tantalizing upgrades and ingredients to elevate your burger game. Each enhancement brings more coins and unveils a delectable array of special toppings, making your burger the talk of the town. Get ready to flip, stack, and savor the burger frenzy!",https://unblocked-games-g-plus.poki2.online/play/burger-clicker.html,https://sites.google.com/view/unblocked-games-g-site/burger-clicker
case-clicker,CASE CLICKER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/case-clicker.jpg,"Game Controls (aka) How To play:  Mouse for playing.
Quick Summary of the Game: Dive into the thrilling universe of Case Clicker Online, a dynamic CS2 case simulator that brings the excitement of opening cases, amassing an impressive collection of skins, and engaging in intense case battles. Unleash your strategic prowess as you navigate through the diverse gameplay features, including inventory management and skillful showdowns. With every click, the anticipation builds, and the allure of rare skins beckons. Immerse yourself in this addictive experience that combines strategy, chance, and the pursuit of coveted virtual treasures. Your journey in the world of Case Clicker awaits!",https://unblocked-games-g-plus.poki2.online/play/case-clicker.html,https://sites.google.com/view/unblocked-games-g-site/case-clicker
chicken-merge,CHICKEN MERGE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/chicken-merge.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: In Chicken Merge, a captivating blend of merge and tower defense genres, immerse yourself in a feathered strategy challenge. As the guardian of your base, strategically deploy a squadron of chickens to thwart relentless enemy hordes. Train and enhance your poultry army by merging identical chickens, boosting their strength. The intuitive drag-and-drop mechanic makes the fusion process seamless. Place your newly-fortified chickens strategically along the defense lines to fortify your base against diverse adversaries. Progress brings better upgrades and formidable weapons, enhancing your arsenal. Challenge your friends, share Chicken Merge, and determine who can craft the mightiest coop to withstand the onslaught of foes!",https://unblocked-games-g-plus.poki2.online/play/chicken-merge.html,https://sites.google.com/view/unblocked-games-g-site/chicken-merge
clicker-heroes,CLICKER HEROES,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/clicker-heroes.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Embark on a thrilling journey in Clicker Heroes, where a simple click unleashes your warrior’s might upon monstrous foes. Crush creatures with relentless taps, amassing gold as your reward. Upgrade your click’s potency to wield unimaginable power.",https://unblocked-games-g-plus.poki2.online/play/clicker-heroes.html,https://sites.google.com/view/unblocked-games-g-site/clicker-heroes
cookie-clicker,COOKIE CLICKER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/cookie-clicker.jpg,"Game Controls (aka) How To play:  Game is played with mouse only.
Quick Summary of the Game: Cookie Clicker is an addictive online web game that is easy to play and has a simple concept. Players click on a giant cookie to earn virtual currency, which they can then use to purchase upgrades and new tools. The game’s simple interface and incremental gameplay make it fun and engaging, with hours of replay value. With an ever-expanding array of upgrades and achievements to unlock, this is a game that will keep you coming back for more. Play the game for free right in your browser and have fun.",https://unblocked-games-g-plus.poki2.online/play/cookie-clicker.html,https://sites.google.com/view/unblocked-games-g-site/cookie-clicker
dinosaurs-merge-master,DINOSAURS MERGE MASTER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/dinosaurs-merge-master.jpg,"Game Controls (aka) How To play:  Play the game with mouse.
Quick Summary of the Game: Dinosaurs Merge Master invites you to craft a fearsome prehistoric legion by strategically combining dinosaurs and warriors. Take command on the battlefield, where the clash of your amalgamated forces against adversaries unfolds. Utilize hard-earned gold coins to reinforce your ranks with additional units. Mastery lies in the artful merging of characters, enhancing their attack prowess and resilience. As you progress, unlock progressively mightier dinosaurs and warriors by skillfully merging them. Dive into the captivating challenge of creating the ultimate super unit while managing the increasing costs. Track your evolving collection through the visual card icon for a triumphant journey in this captivating merge-strategy adventure!",https://unblocked-games-g-plus.poki2.online/play/dinosaurs-merge-master.html,https://sites.google.com/view/unblocked-games-g-site/dinosaurs-merge-master
dogeminer,DOGEMINER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/dogeminer.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Dogeminer is a super fun online game that’s easy to play and addicting. You get to be a dog astronaut and mine for Dogecoins on different planets in this clicker adventure game. It’s a great way to kill time and earn some virtual money. Plus, the graphics and sound effects are awesome. I love how it’s both challenging and relaxing at the same time.",https://unblocked-games-g-plus.poki2.online/play/dogeminer.html,https://sites.google.com/view/unblocked-games-g-site/dogeminer
grindcraft-remastered,GRINDCRAFT REMASTERED,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/grindcraft-remastered.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Grindcraft is an addictive, incremental game that challenges players to gather resources, craft items, and build structures in order to progress through different levels. With simple, blocky graphics and a focus on continuous play, Grindcraft is a fun and engaging way to pass the time. The game’s repetitive nature can make it feel a bit monotonous at times, but the satisfaction of seeing your progress and the many different items you can create keeps you coming back for more. Play the game online for free without download and have fun.",https://unblocked-games-g-plus.poki2.online/play/grindcraft-remastered.html,https://sites.google.com/view/unblocked-games-g-site/grindcraft-remastered
idle-breakout,IDLE BREAKOUT,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/idle-breakout.jpg,"Game Controls (aka) How To play:  Game is played only with mouse.
Quick Summary of the Game: Idle Breakout is fun clicking games in which you need to destroy bricks by clicking on them. Use the points for upgrade and unlocking cool features of the game. Play the game free online without download with friends or solo.",https://unblocked-games-g-plus.poki2.online/play/idle-breakout.html,https://sites.google.com/view/unblocked-games-g-site/idle-breakout
